desc,link,title
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - A directory of free Python and Zope hosting providers, with reviews and ratings.\n                    \n                ']",[u'http://www.oinko.net/freepython/'],[u'Free Python and Zope Hosting Directory']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Features Python books, resources, news and articles.\n                    \n                ']",[u'http://oreilly.com/python/'],"[u""O'Reilly Python Center""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Resources for reporting bugs, accessing the Python source tree with CVS and taking part in the development of Python.\n                    \n                ']",[u'http://www.python.org/dev/'],"[u""Python Developer's Guide""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Scripts, examples and news about Python programming for the Windows platform.\n                    \n                ']",[u'http://win32com.goermezer.de/'],[u'Social Bug']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - Contains links to assorted resources from the Python universe, compiled by PythonWare.\n                    \n                ']",[u'http://www.pythonware.com/daily/'],"[u""eff-bot's Daily Python URL""]"
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161769. Printed edition of official tutorial, for v2.x, from Python.org. [Network Theory, online]\n                    \n                ']",[u'http://www.network-theory.co.uk/python/intro/'],[u'An Introduction to Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Wesley J. Chun; Prentice Hall PTR, 2001, ISBN 0130260363. For experienced developers to improve extant skills; professional level examples. Starts by introducing syntax, objects, error handling, functions, classes, built-ins. [Prentice Hall]\n                    \n                ']","[u'http://www.pearsonhighered.com/educator/academic/product/0,,0130260363,00%2Ben-USS_01DBC.html']",[u'Core Python Programming']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - The primary goal of this book is to promote object-oriented design using Python and to illustrate the use of the emerging object-oriented design patterns.\r\nA secondary goal of the book is to present mathematical tools just in time. Analysis techniques and proofs are presented as needed and in the proper context.\n                    \n                ']",[u'http://www.brpreiss.com/books/opus7/html/book.html'],[u'Data Structures and Algorithms with Object-Oriented Design Patterns in Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Mark Pilgrim; 2000-2002. For experienced programmers. Starts with example code, overview, then HTML, XML, unit and regression tests. Downloads: txt, XML, PDF, HTML, MS Word, Win Help. Chinese, Korean, Espa\xf1ol, Fran\xe7ais; Russian. [GNU Free Documentation]\n                    \n                ']",[u'http://diveintopython.org/'],[u'Dive Into Python']
"[u'\n\t\t\t\n                \t', u' \n\t\t\t\n\t\t\t\t\t\n                    - By Mark Pilgrim, Guide to Python 3  and its differences from Python 2. Each chapter starts with a real code sample and explains it fully. Has a comprehensive appendix of all the syntactic and semantic changes in Python 3\r\n\r\n\n                    \n                ']",[u'http://diveintopython3.org/'],[u'Dive Into Python 3']
